Бейрут;43.0341458;44.6809986
Шанем;43.0349842;44.6655395
Леонардо;43.0339327;44.6829197
Маракеш;43.0340881;44.6907234
Кошка;43.0417792;44.6697755
Погребок;43.0343638;44.6836691
Сакура;43.0346377;44.6801063
Шансон;43.0459713;44.6645876
ВТБ Банк Москвы;43.0526580;44.6711500
Зебра;43.0336285;44.6850659
город Владикавказ АВ-2;43.0364616;44.6968017
город Владикавказ АВ-2;43.0367900;44.6968559
город Владикавказ Ж/Д вокзал;43.0379989;44.6872039
Весна;43.0348363;44.6904955
Пышка;43.0348482;44.6905212
Олег;43.0348822;44.6904227
Целитель;43.0349424;44.6903620
Белорусские колбасы;43.0393976;44.6634799
Продукты;43.0409593;44.6625125
Автоэлектроника;43.0359772;44.6671241
Замена масла;43.0370081;44.6664671
Колизей;43.0356339;44.6673840
Мойка;43.0361644;44.6672814
Шины;43.0369311;44.6665220
Подиум (женская одежда);43.0319213;44.6842645
Газпром;43.0433437;44.6925758
Лукойл;43.0415626;44.6935479
Селекционная;43.1076847;44.6235022
Садон;43.0848206;44.6526723
18 км;43.0730388;44.6668777
Индустриальная;43.0594404;44.6794434
Рубин;43.0385762;44.6632493
Cбербанк;43.0348079;44.6644162
Отделение связи №362020;43.0382718;44.6634631
Отделение связи №362027;43.0370780;44.6872926
Дм-Тревел;43.0334524;44.6688883
Ringo;43.0321992;44.6662861
Римио;43.0317824;44.6665517
АланДон;43.0325820;44.6741957
Гигант;43.0341992;44.6796461
Золото 585;43.0329616;44.6798097
Институт Моды;43.0346839;44.6800976
КанцТоварищ;43.0333205;44.6809452
Магнит;43.0340705;44.6803265
Пекарня;43.0335188;44.6803027
Пивная;43.0345948;44.6801164
Винченцо;43.0359701;44.6728942
Зоомагазин;43.0339060;44.6711795
Дружба;43.0385824;44.6673128
Аптека;43.0368127;44.6638986
Маглус;43.0379815;44.6631251
Надежда;43.0377074;44.6632979
Сирень;43.0372353;44.6636073
Шиномонтаж;43.0371523;44.6636643
03;43.0374820;44.6634490
Express Шаурма;43.0388310;44.6631243
БингоБум;43.0388771;44.6632468
Все для пива;43.0369416;44.6638002
Рит. услуги;43.0373636;44.6635314
Автомойка;43.0339357;44.6636222
Автоспектр;43.0342913;44.6636048
Женская консультация №1;43.0378079;44.6623956
Стоматология;43.0381519;44.6621582
Гелиос;43.0480318;44.6566651
Оазис;43.0514171;44.6547197
Аспирин;43.0452479;44.6584039
Сармат;43.0450760;44.6585152
Сивилия;43.0454793;44.6582640
Сокол;43.0451730;44.6584510
Чайка;43.0448655;44.6587325
Чебуреки;43.0451742;44.6593437
Екатеринодар;43.0459252;44.6643567
Жемчужина;43.0460772;44.6626207
Зеркальный цех;43.0459633;44.6640043
Изготовление памятников из гранита;43.0457170;44.6624332
Империя Света;43.0458876;44.6635570
Камелот;43.0458128;44.6630561
Протек;43.0460671;44.6639570
Шатура;43.0458771;44.6640251
Банк ХоумКредит;43.0438103;44.6594194
Минеральные воды;43.0437192;44.6594698
Автомойка;43.0455571;44.6539189
Берёзка;43.0528539;44.6526714
Упаковочные Материалы;43.0525028;44.6531017
Книги;43.0325999;44.6810740
Росгосстрах;43.0328409;44.6810717
Амран;43.0390947;44.6862109
Амран;43.0392114;44.6860903
Надежда;43.0381022;44.6867374
Шах-Намэ;43.0356811;44.6897017
Наркологический диспансер;43.0345517;44.6908735
Противотуберкулезный диспансер;43.0378026;44.6869939
FonBet;43.0473502;44.6575280
New York Pizza;43.0470087;44.6573683
Золушка;43.0475616;44.6562335
Марабу;43.0473988;44.6562316
Продукты;43.0472795;44.6572031
Замена масла;43.0457875;44.6786243
Север;43.0460323;44.6784513
Сладкая жизнь;43.0459323;44.6784294
ХДМ;43.0470809;44.6767955
COTTON CLUB;43.0350410;44.6847184
Vincenzo;43.0347722;44.6822884
Веселый молочник;43.0337172;44.6875878
Владикавказский дом книги;43.0348396;44.6852799
Гурман;43.0336949;44.6838429
Дары моря;43.0337988;44.6882058
Для будущих мам +9;43.0342726;44.6853939
Закусочная;43.0336781;44.6873675
Золушка;43.0336189;44.6871811
Малахитовая шкатулка;43.0338530;44.6837941
Наш малыш;43.0338963;44.6855240
Обувь;43.0337438;44.6877787
Ставропольский;43.0347682;44.6819466
Стоматологическая поликлиника СОГМА №1;43.0354364;44.6862301
Стрекоза филиал;43.0346892;44.6853183
Стрекоза;43.0341028;44.6854438
Фото;43.0346455;44.6819211
Цветочек;43.0354140;44.6859075
Цветы;43.0322724;44.6861607
Электрика;43.0353590;44.6854078
Этти детти;43.0334888;44.6851172
Охотник;43.0324811;44.6836943
ТД "Пассаж";43.0319103;44.6837657
Упаковочные Материалы;43.0325897;44.6836772
1000 мелочей;43.0317056;44.6838105
Л'Этуаль;43.0348959;44.6779026
Лемончелло;43.0331836;44.6797555
Рояль Бар;43.0331573;44.6796386
Темпбанк;43.0337375;44.6796947
Мир Антенн;43.0341022;44.6747536
Парикмахерская;43.0341938;44.6751923
Улыбка;43.0341597;44.6750116
Эльф;43.0343771;44.6759861
Владикавказ;43.0378590;44.6881553
Владикавказ;43.0381016;44.6885043
Диакрис;43.0408106;44.6852717
Автосервис;43.0542377;44.6758739
Изготовление мебели;43.0456630;44.6823775
Локон;43.0405897;44.6616961
Надежда;43.0405952;44.6616308
Mobil 1 Центр;43.0409622;44.6690983
Опорный пункт милиции;43.0393256;44.6611428
прокат и ремонт инструмента;43.0431374;44.6567062
VIPkadr.pro;43.0335577;44.6814765
Каштан;43.0360225;44.6544973
Матрица;43.0322088;44.6789060
авиа железнодорожные кассы;43.0343791;44.6781443
Универсам «Наш»;43.0360480;44.6545690
Два толстяка;43.0430101;44.6816419
4Giz;43.0449715;44.6590266
Мебеля;43.0467355;44.6567355
Министерство ЖКХ по РСО-Алания;43.0413392;44.6700367
Парикмахерская;43.0344544;44.6814842
Эдем;43.0453224;44.6592518
Emma Goodman;43.0460349;44.6580128
Восток;43.0381228;44.6822740
Ринго;43.0331554;44.6707352
Шаурмания;43.0382376;44.6607173
Цветы;43.0396996;44.6620240
Сервисный центр;43.0368061;44.6639757
ОП № 3 УМВД по г. Владикавказ;43.0536310;44.6563870
Левобережная Администрация "Префиктура" г.Владикавказа;43.0533125;44.6565950
Три Пирога;43.0538505;44.6563612
Nizza;43.0372847;44.6886085
Лаванда;43.0355046;44.6759495
Аптека;43.0362278;44.6730794
Маргоша;43.0385100;44.6728398
Алёна;43.0357526;44.6758135
Готовая кухня;43.0384348;44.6725773
Аэро кафе;43.0343186;44.6806800
Белая Роза;43.0348412;44.6778112
Хулиганка;43.0354469;44.6759882
фермер маркет;43.0358041;44.6828693
Чебуречная;43.0417439;44.6830238
Детская музыкальная школа;43.0504295;44.6645814
Спецавтоматика;43.0433153;44.6572958
РФМЛИ;43.0556553;44.6721732
Ремонт электроинструмента;43.0544707;44.6755661
Сбербанк РФ;43.0535582;44.6557918
Фыдджынта;43.0335424;44.6662222
Анапские вина;43.0451819;44.6793704
Опорный пункт полиции;43.0452480;44.6790146
С. М. Киров;43.0353124;44.6823607
Аланские пироги;43.0344417;44.6836178
Магнит;43.0543097;44.6557256
Жар-Птица;43.0465118;44.6597188
Музыка, марина эриковна;43.0359347;44.6915693
PLAZMA;43.0337532;44.6834245
ГБУ "Владикавказская станция по борьбе с болезнями животных";43.0413816;44.6528383
Хинкальная;43.0474097;44.6734376
Альянс;43.0337684;44.6828109
Камелия-В;43.0433826;44.6574960
Бавария;43.0535446;44.6734244
Dr.Giovani лаборатория красоты;43.0327955;44.6607402
Хостел Льва Толстого, 46;43.0380295;44.6832682
Наш;43.0367297;44.6937031
Людмила;43.0332656;44.6907983
Филиал №1 центральной библиотечной системы;43.0328500;44.6903817
Столовая №1;43.0330611;44.6863910
Администрация местного самоуправления г. Владикавказа;43.0330452;44.6862361
Сбербанк;43.0330241;44.6860521
Здравушка;43.0333639;44.6856811
Диабет +;43.0379061;44.6826844
Подарки;43.0360728;44.6828609
СКВСУ;43.0426315;44.6777125
Рустикаль;43.0320509;44.6805596
Аптека первая;43.0324637;44.6804772
Алкомир;43.0325318;44.6804651
Carlo Pazolini;43.0326872;44.6822199
Италмода;43.0323931;44.6819772
KFC;43.0317755;44.6799964
Syndicate;43.0327470;44.6798623
Сека Гадиев;43.0336047;44.6797188
Just Smoke;43.0331273;44.6794224
Ос-Фарм;43.0384139;44.6821905
Пункт обмена валюты;43.0324253;44.6851901
Здоровье;43.0339925;44.6833898
Триал;43.0444843;44.6673775
Лига Ставок;43.0473500;44.6575610
Лига Ставок;43.0349370;44.6651340
Лига Ставок;43.0370790;44.6887870
Лига Ставок;43.0384853;44.6633184
Лига Ставок;43.0370770;44.6825520
FabLab Alania;43.0364891;44.6831304
Медведь & Кенгуру;43.0340176;44.6809856
Омар Хайям;43.0346121;44.6765406
Престиж;43.0363181;44.6756378
РЕСО Гарантия;43.0367964;44.6758912
Анечка;43.0469469;44.6721362
Къона;43.0450601;44.6590672
Капитал Медицинское Страхование;43.0336650;44.6892270
ПЭК: Easyway;43.0487747;44.6554381
